iter	Passed	Remaining
0	0	98
1	1	67
2	1	55
3	2	48
4	2	46
5	2	46
6	3	44
7	3	43
8	4	41
9	4	41
10	4	40
11	5	39
12	5	37
13	6	36
14	6	36
15	7	37
16	7	36
17	7	35
18	8	34
19	8	33
20	8	32
21	9	32
22	9	31
23	9	30
24	9	29
25	10	29
26	10	28
27	10	28
28	11	27
29	11	26
30	13	29
31	13	28
32	13	28
33	14	27
34	14	26
35	16	28
36	16	28
37	17	28
38	17	27
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	29	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
