iter	Passed	Remaining
0	58	58540
1	59	29479
2	59	19774
3	59	14898
4	60	11966
5	60	10015
6	60	8617
7	61	7568
8	61	6752
9	61	6106
10	61	5572
11	62	5144
12	62	4777
13	63	4459
14	63	4177
15	63	3930
16	64	3720
17	64	3533
18	65	3361
19	65	3208
20	66	3078
21	66	2953
22	66	2840
23	67	2733
24	67	2639
25	68	2553
26	68	2467
27	68	2388
28	69	2314
29	70	2268
30	70	2206
31	70	2146
32	71	2090
33	71	2037
34	72	1985
35	72	1941
36	72	1898
37	73	1856
38	73	1816
39	74	1776
40	74	1738
41	74	1703
42	75	1671
43	75	1640
44	76	1620
45	76	1592
46	77	1565
47	77	1542
48	78	1516
49	78	1490
50	78	1465
51	79	1442
52	79	1420
53	79	1397
54	80	1375
55	80	1354
56	80	1333
57	80	1313
58	81	1295
59	81	1279
60	82	1262
61	82	1244
62	82	1227
63	82	1211
64	83	1196
65	83	1181
66	83	1166
67	84	1151
68	84	1139
69	84	1125
70	85	1112
71	85	1099
72	85	1087
73	85	1075
74	86	1063
75	86	1052
76	86	1040
77	87	1029
78	87	1018
79	87	1007
80	87	997
81	88	987
82	88	975
83	88	966
84	88	956
85	89	947
86	89	939
87	89	930
88	90	921
89	90	913
90	90	904
91	90	897
92	91	892
93	91	886
94	92	878
95	92	871
96	92	863
97	93	856
98	93	849
99	93	842
100	93	834
101	94	827
102	94	821
103	94	814
104	94	808
105	95	802
106	95	795
107	95	789
108	95	783
109	96	777
110	96	771
111	96	766
112	96	760
113	97	755
114	97	751
115	97	746
116	98	740
117	98	736
118	98	731
119	99	727
120	99	722
121	99	718
122	100	713
123	100	709
124	100	704
125	100	700
126	101	695
127	101	691
128	101	687
129	102	683
130	102	679
131	102	675
132	103	671
133	103	667
134	103	663
135	103	660
136	104	656
137	104	652
138	104	649
139	105	646
140	105	642
141	105	638
142	105	635
143	106	633
144	106	630
145	107	626
146	107	623
147	107	620
148	108	617
149	108	614
150	108	611
151	109	608
152	109	605
153	109	601
154	109	598
155	110	595
156	110	592
157	110	589
158	110	586
159	111	583
160	111	580
161	111	578
162	112	576
163	112	573
164	112	570
165	113	569
166	113	566
167	113	564
168	114	561
169	114	560
170	115	558
171	115	556
172	115	553
173	116	551
174	116	549
175	116	547
176	117	544
177	117	542
178	117	539
179	118	537
180	118	535
181	118	533
182	119	531
183	119	529
184	119	526
185	119	524
186	120	522
187	120	520
188	121	519
189	121	517
190	121	516
191	122	514
192	122	513
193	123	512
194	123	510
195	124	509
196	124	507
197	124	505
